"contig_name","platon","rfplasmid","plascope","plasmid_count","classification"
"GCA_003367885.1_ASM336788v1_1","chromosome","chromosome","chromosome",0,"chromosome"
"GCA_003367885.1_ASM336788v1_10","chromosome","chromosome","chromosome",0,"chromosome"
"GCA_003367885.1_ASM336788v1_100","chromosome","chromosome","unclassified",0,"chromosome"
"GCA_003367885.1_ASM336788v1_101","chromosome","chromosome","unclassified",0,"chromosome"
"GCA_003367885.1_ASM336788v1_102","chromosome","chromosome","unclassified",0,"chromosome"
"GCA_003367885.1_ASM336788v1_103","chromosome","chromosome","unclassified",0,"chromosome"
"GCA_003367885.1_ASM336788v1_104","chromosome","chromosome","chromosome",0,"chromosome"
"GCA_003367885.1_ASM336788v1_105","chromosome","chromosome","unclassified",0,"chromosome"
"GCA_003367885.1_ASM336788v1_106","chromosome","chromosome","unclassified",0,"chromosome"
"GCA_003367885.1_ASM336788v1_107","chromosome","chromosome","unclassified",0,"chromosome"
"GCA_003367885.1_ASM336788v1_108","chromosome","chromosome","chromosome",0,"chromosome"
"GCA_003367885.1_ASM336788v1_109","chromosome","chromosome","unclassified",0,"chromosome"
"GCA_003367885.1_ASM336788v1_11","chromosome","chromosome","chromosome",0,"chromosome"
"GCA_003367885.1_ASM336788v1_110","chromosome","chromosome","chromosome",0,"chromosome"
"GCA_003367885.1_ASM336788v1_12","chromosome","chromosome","chromosome",0,"chromosome"
"GCA_003367885.1_ASM336788v1_13","chromosome","chromosome","chromosome",0,"chromosome"
"GCA_003367885.1_ASM336788v1_14","chromosome","chromosome","chromosome",0,"chromosome"
"GCA_003367885.1_ASM336788v1_15","chromosome","chromosome","chromosome",0,"chromosome"
"GCA_003367885.1_ASM336788v1_16","chromosome","chromosome","chromosome",0,"chromosome"
"GCA_003367885.1_ASM336788v1_17","chromosome","chromosome","chromosome",0,"chromosome"
"GCA_003367885.1_ASM336788v1_18","chromosome","chromosome","chromosome",0,"chromosome"
"GCA_003367885.1_ASM336788v1_19","chromosome","chromosome","chromosome",0,"chromosome"
