"contig_name","platon","rfplasmid","plascope","plasmid_count","classification"
"GCA-003367885.1-ASM336788v1_202109200955_1_length_414105_cov_28.678502","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_10_length_136801_cov_29.799135","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_11_length_133160_cov_29.628603","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_12_length_132705_cov_31.775249","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_13_length_125945_cov_28.497345","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_14_length_113959_cov_29.123893","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_15_length_112949_cov_30.308778","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_16_length_112496_cov_28.984079","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_17_length_103151_cov_28.315441","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_18_length_95318_cov_30.758612","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_19_length_88592_cov_28.648087","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_2_length_328921_cov_28.991280","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_20_length_85164_cov_31.156532","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_21_length_78753_cov_29.108819","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_22_length_67473_cov_28.682639","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_23_length_58240_cov_28.745737","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_24_length_57161_cov_30.122453","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_25_length_55004_cov_31.136688","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_26_length_46229_cov_29.226888","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_27_length_43953_cov_28.972642","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_28_length_40429_cov_32.710436","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_29_length_40304_cov_28.833636","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_3_length_286379_cov_30.813581","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_30_length_35668_cov_31.107313","chromosome","chromosome","chromosome",0,"chromosome"
"GCA-003367885.1-ASM336788v1_202109200955_31_length_35327_cov_27.293778","chromosome","chromosome","chromosome",0,"chromosome"
