SRR8182925,plasmid_AB685,no_correct_alignments,0,0
SRR8182925,plasmid_AA171,CP021871.1,125455,128224
SRR8182925,plasmid_AA171,CP021454.1,18231,128224
SRR8182925,plasmid_AA575,no_correct_alignments,0,0
SRR8182925,plasmid_AA977,no_correct_alignments,0,0
SRR11948708,plasmid_AA324,CP056470.1,43268,68915
SRR11948708,plasmid_AA324,CP056471.1,47114,68915
SRR11948708,plasmid_AA324,CP056472.1,4541,68915
SRR11948708,plasmid_AA336,CP056472.1,63468,102475
SRR11948708,plasmid_AA336,CP056471.1,39969,102475
SRR11949021,plasmid_AA176,CP056915.1,140474,139814
SRR3999089,plasmid_AA552,CP019006.1,47531,47658
SRR3999089,plasmid_novel_79f3e8492f3b5cceddcce0563ce27582,no_correct_alignments,0,0
SRR3999089,plasmid_AA175,CP019007.1,124431,131083
SRR3999089,plasmid_AA175,CP019008.1,6651,131083
SRR11905449,plasmid_AA171,CP054220.1,123646,122691
SRR11905449,plasmid_AA171,CP054219.1,15192,122691
SRR11905449,plasmid_AA474,CP054221.1,84843,88699
SRR11905449,plasmid_AA474,CP054219.1,10328,88699
SRR11905449,plasmid_AA977,CP054222.1,5167,5294
SRR11905449,plasmid_AB687,no_correct_alignments,0,0
DRR199249,plasmid_AB685,no_correct_alignments,0,0
DRR199249,plasmid_AA171,AP021999.1,94922,95305
DRR199249,plasmid_AA171,AP021998.1,7595,95305
DRR199249,plasmid_AA579,AP022002.1,4087,4214
DRR199249,plasmid_AA977,AP022001.1,5167,5294
DRR199249,plasmid_AC509,AP022000.1,6669,6796
SRR4025854,plasmid_AB685,no_correct_alignments,0,0
SRR4025854,plasmid_AA860,CP021936.1,137402,142628
SRR4025854,plasmid_AA860,CP021937.1,14744,142628
SRR4025854,plasmid_AA860,CP021935.1,5064,142628
SRR4025854,plasmid_AD068,CP021937.1,7164,2388
SRR4025854,plasmid_AA579,no_correct_alignments,0,0
SRR4025854,plasmid_AA977,no_correct_alignments,0,0
SRR4025854,plasmid_AC509,no_correct_alignments,0,0
SRR4025854,plasmid_AA735,CP021938.1,72197,152274
SRR4025854,plasmid_AA735,CP021937.1,113917,152274
SRR4025854,plasmid_AA735,CP021935.1,10324,152274
SRR3112334,plasmid_AB685,no_correct_alignments,0,0
SRR3112334,plasmid_AB443,no_correct_alignments,0,0
SRR3112334,plasmid_AA474,CP032264.1,84616,94879
SRR3112334,plasmid_AA474,CP032265.1,13508,94879
SRR3112334,plasmid_AA474,CP032263.1,542,94879
SRR3112334,plasmid_AA176,CP032263.1,149346,172552
SRR3112334,plasmid_AA176,CP032264.1,12261,172552
SRR3112334,plasmid_AA176,CP032265.1,14758,172552
SRR3112334,plasmid_AC509,no_correct_alignments,0,0
SRR6985737,plasmid_AB685,CP030338.1,1549,1676
SRR6985737,plasmid_AA171,CP030339.1,13771,81993
SRR6985737,plasmid_AA171,CP030337.1,2178,81993
SRR6985737,plasmid_AA552,CP030335.1,72453,73547
SRR6985737,plasmid_AA474,CP030340.1,34927,98106
SRR6985737,plasmid_AA474,CP030336.1,15603,98106
SRR6985737,plasmid_AA474,CP030337.1,15342,98106
SRR6985737,plasmid_AA579,CP030333.1,4082,4209
SRR6985737,plasmid_AA977,CP030334.1,5167,5294
SRR6985737,plasmid_AA372,CP030339.1,1443,65352
SRR6985737,plasmid_AA372,CP030337.1,1442,65352
DRR199303,plasmid_AA171,AP022065.1,113139,118529
DRR199303,plasmid_AA171,AP022066.1,4695,118529
DRR199303,plasmid_AA171,AP022064.1,14103,118529
DRR199303,plasmid_AA474,AP022065.1,4877,100162
DRR199303,plasmid_AA474,AP022066.1,95055,100162
DRR199303,plasmid_AA579,AP022068.1,4087,4214
DRR199303,plasmid_AA977,AP022067.1,5167,5294
SRR5482170,plasmid_AB685,no_correct_alignments,0,0
SRR5482170,plasmid_AA171,CP021180.1,125413,124413
SRR5482170,plasmid_AA171,CP021179.1,10322,124413
SRR5482170,plasmid_AA977,no_correct_alignments,0,0
SRR5168233,plasmid_AA171,CP020117.1,101025,101655
SRR5168233,plasmid_AA171,CP020116.1,14103,101655
SRR5168233,plasmid_AA171,CP020119.1,2249,101655
SRR5168233,plasmid_AA747,CP020118.1,109701,109701
SRR5168233,plasmid_AA552,CP020119.1,49207,49207
SRR5168210,plasmid_AB685,no_correct_alignments,0,0
SRR5168210,plasmid_AA171,CP021690.1,137509,136359
