GCA_014169115.1_ASM1416911v1,plasmid_AD482,AP022075.1,125
GCA_014169115.1_ASM1416911v1,plasmid_AC512,AP022070.1,74
GCA_014169115.1_ASM1416911v1,plasmid_AC512,AP022070.1,124
GCA_014169115.1_ASM1416911v1,plasmid_AC512,AP022070.1,143
GCA_014169115.1_ASM1416911v1,plasmid_AA977,AP022074.1,106
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,25
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,103
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,114
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,126
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,165
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022071.1,174
GCA_014169115.1_ASM1416911v1,plasmid_AA282,AP022072.1,174
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,56
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,59
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022070.1,78
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,84
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022070.1,97
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,101
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022070.1,111
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022069.1,128
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,134
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,137
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022070.1,141
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022069.1,141
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,142
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,152
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022072.1,164
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022069.1,169
GCA_014169115.1_ASM1416911v1,plasmid_AA336,AP022070.1,172
GCA_014169115.1_ASM1416911v1,plasmid_novel_5c80c4830b8e7b9254dd4e88fbd2a6a6,AP022069.1,66
GCA_014169115.1_ASM1416911v1,plasmid_novel_5c80c4830b8e7b9254dd4e88fbd2a6a6,AP022070.1,87
GCA_014169115.1_ASM1416911v1,plasmid_novel_5c80c4830b8e7b9254dd4e88fbd2a6a6,AP022070.1,96
