"Sample","SPECIES","MLST-type","previously_failed","Total length","# contigs (>= 0 bp)","# contigs (>= 1000 bp)","# contigs (>= 5000 bp)","# contigs (>= 10000 bp)","# contigs (>= 25000 bp)","# contigs (>= 50000 bp)","Total length (>= 0 bp)","Total length (>= 1000 bp)","Total length (>= 5000 bp)","Total length (>= 10000 bp)","Total length (>= 25000 bp)","Total length (>= 50000 bp)","# contigs","Largest contig","GC (%)","N50","N75","L50","L75","# N's per 100 kbp"
"UNK-JSC-RGN-105342","-","-",TRUE,1892921,346,210,105,52,12,1,1892921,1797585,1515877,1132859,550319,212375,346,212375,62.04,13137,6425,36,89,7.08
"ECO-JSC-RGN-105296","senterica","-",TRUE,2488923,156,140,92,64,35,11,2488923,2477671,2350564,2139097,1694047,814755,156,108414,50.34,37156,17780,22,44,19.73
"UNK-JSC-RGN-105477","-","-",FALSE,2639678,32,32,25,22,19,17,2639678,2639678,2616812,2598145,2550321,2482609,32,356691,55.75,150316,102783,6,12,0.8
"UNK-JSC-RGN-105478","-","-",FALSE,2640269,30,30,25,22,19,17,2640269,2640269,2624357,2603312,2555575,2487864,30,358930,55.75,166273,107377,6,11,2.65
"UNK-JSC-RGN-105476","-","-",FALSE,2640545,28,26,21,19,17,16,2640545,2639027,2622097,2610889,2581702,2546307,28,356726,55.74,213374,100296,5,10,0.95
"UNK-JSC-RGN-105475","-","-",FALSE,2720679,32,32,26,23,19,16,2720679,2720679,2698502,2681118,2617495,2508534,32,270045,55.74,166277,113206,7,11,1.36
"ECO-JSC-RGN-105456","ecoli","10.0",FALSE,4471518,79,70,57,52,46,31,4471518,4465245,4436292,4398419,4293686,3743940,79,283926,50.73,127681,61575,12,25,4.38
"ECO-JSC-RGN-105457","ecoli","154.0",FALSE,4837388,59,52,47,46,38,29,4837388,4831735,4823323,4815776,4670383,4320241,59,407840,50.46,191861,92067,10,19,2.94
"ECO-JSC-RGN-105292","ecoli","-",TRUE,4841747,84,80,62,50,40,24,4841747,4838577,4791723,4707301,4539664,3939150,84,425937,50.69,169008,86460,10,20,4.01
"ECO-JSC-RGN-105451","ecoli","-",FALSE,4845488,69,64,49,43,40,27,4845488,4842012,4808451,4765634,4722372,4224120,69,466482,50.68,172755,93424,10,19,1.63
"ECO-JSC-RGN-105231","ecoli","533.0",FALSE,4863366,84,66,48,41,35,24,4863366,4849921,4808645,4750410,4655584,4236071,84,585311,50.67,203776,102659,8,17,3.87
"ECO-JSC-RGN-105283","ecoli","-",TRUE,4899167,160,141,90,74,50,30,4899167,4885126,4760297,4643806,4289908,3557396,160,273908,50.47,120195,42675,15,33,10.14
"ECO-JSC-RGN-105284","ecoli","-",TRUE,4900314,168,150,96,82,52,37,4900314,4887268,4749542,4650450,4210361,3662258,168,215465,50.47,88454,47479,20,38,11.98
"ECO-JSC-RGN-105442","ecoli","-",FALSE,4900557,136,120,75,64,47,32,4900557,4888995,4781280,4702392,4451828,3924056,136,263276,50.47,125643,58692,14,28,12.1
