ECO-JSC-MOD-104868_202103232141_1_length_520672_cov_91.613486,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_2_length_420717_cov_100.926593,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_3_length_379848_cov_85.790767,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_4_length_348164_cov_107.526187,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_5_length_275687_cov_101.219691,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_6_length_259330_cov_97.281362,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_7_length_246402_cov_108.180522,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_8_length_218746_cov_105.668028,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_9_length_191078_cov_106.739933,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_10_length_186389_cov_103.143694,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_11_length_173929_cov_101.001317,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_12_length_160626_cov_95.370024,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_13_length_159030_cov_106.030632,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_14_length_147014_cov_110.741794,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_15_length_136520_cov_87.872100,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_16_length_124371_cov_109.440214,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_17_length_113771_cov_87.191118,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_18_length_109255_cov_110.228013,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_19_length_100064_cov_110.155890,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_20_length_93412_cov_88.508662,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_21_length_75264_cov_111.139984,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_22_length_66015_cov_104.996603,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_23_length_65908_cov_89.960869,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_24_length_34211_cov_107.352815,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_25_length_31077_cov_97.513355,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_26_length_30105_cov_107.955375,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_27_length_27348_cov_116.039896,chromosome,plascope
ECO-JSC-MOD-104868_202103232141_28_length_23180_cov_86.088170,chromosome,plascope
