"contig_name","final_result"
"DRR192221_202105251828_1_length_468813_cov_43.132528","chromosome"
"DRR192221_202105251828_2_length_437611_cov_39.862130","chromosome"
"DRR192221_202105251828_3_length_399405_cov_41.196076","chromosome"
"DRR192221_202105251828_4_length_394141_cov_37.110516","chromosome"
"DRR192221_202105251828_5_length_347115_cov_37.537021","chromosome"
"DRR192221_202105251828_6_length_336315_cov_44.623931","chromosome"
"DRR192221_202105251828_7_length_303028_cov_34.435360","chromosome"
"DRR192221_202105251828_8_length_249657_cov_41.400628","chromosome"
"DRR192221_202105251828_9_length_229132_cov_36.659470","chromosome"
"DRR192221_202105251828_10_length_220982_cov_37.995291","chromosome"
"DRR192221_202105251828_11_length_210432_cov_36.511210","chromosome"
"DRR192221_202105251828_12_length_209432_cov_39.036545","chromosome"
"DRR192221_202105251828_13_length_173018_cov_40.003707","chromosome"
"DRR192221_202105251828_14_length_136619_cov_36.019019","chromosome"
"DRR192221_202105251828_15_length_109710_cov_44.449212","chromosome"
"DRR192221_202105251828_16_length_99236_cov_36.392638","chromosome"
"DRR192221_202105251828_17_length_92940_cov_42.807484","chromosome"
"DRR192221_202105251828_18_length_77479_cov_35.811847","chromosome"
"DRR192221_202105251828_19_length_66762_cov_46.365379","chromosome"
"DRR192221_202105251828_20_length_58338_cov_45.471148","chromosome"
"DRR192221_202105251828_22_length_51107_cov_40.863005","chromosome"
"DRR192221_202105251828_23_length_41555_cov_42.481317","chromosome"
"DRR192221_202105251828_24_length_38882_cov_40.586376","chromosome"
"DRR192221_202105251828_25_length_30045_cov_43.437563","chromosome"
"DRR192221_202105251828_26_length_29423_cov_46.272665","chromosome"
"DRR192221_202105251828_27_length_26231_cov_36.306773","chromosome"
"DRR192221_202105251828_29_length_16464_cov_44.372223","chromosome"
"DRR192221_202105251828_30_length_15490_cov_49.182191","chromosome"
"DRR192221_202105251828_31_length_14298_cov_42.709689","chromosome"
"DRR192221_202105251828_32_length_13574_cov_40.098609","chromosome"
"DRR192221_202105251828_33_length_12329_cov_79.829946","chromosome"
"DRR192221_202105251828_34_length_11876_cov_43.794961","chromosome"
"DRR192221_202105251828_35_length_11707_cov_35.338515","chromosome"
"DRR192221_202105251828_36_length_10772_cov_43.480319","chromosome"
"DRR192221_202105251828_40_length_6846_cov_43.411817","chromosome"
"DRR192221_202105251828_41_length_6837_cov_40.381073","chromosome"
"DRR192221_202105251828_42_length_4671_cov_302.847931","chromosome"
"DRR192221_202105251828_43_length_4467_cov_42.411982","chromosome"
"DRR192221_202105251828_44_length_4369_cov_44.770156","chromosome"
"DRR192221_202105251828_50_length_2581_cov_355.290139","chromosome"
"DRR192221_202105251828_51_length_2532_cov_347.834511","chromosome"
"DRR192221_202105251828_53_length_2036_cov_37.733368","chromosome"
"DRR192221_202105251828_55_length_1994_cov_49.994644","chromosome"
"DRR192221_202105251828_57_length_1753_cov_42.583026","chromosome"
"DRR192221_202105251828_58_length_1652_cov_42.134907","chromosome"
"DRR192221_202105251828_60_length_1432_cov_171.832950","chromosome"
"DRR192221_202105251828_61_length_1084_cov_76.555904","chromosome"
"DRR192221_202105251828_63_length_979_cov_99.007042","chromosome"
"DRR192221_202105251828_64_length_923_cov_47.255025","chromosome"
"DRR192221_202105251828_65_length_914_cov_69.675985","chromosome"
"DRR192221_202105251828_66_length_899_cov_38.655440","chromosome"
"DRR192221_202105251828_67_length_894_cov_85.247718","chromosome"
"DRR192221_202105251828_68_length_887_cov_39.617105","chromosome"
"DRR192221_202105251828_69_length_777_cov_270.435385","chromosome"
"DRR192221_202105251828_70_length_768_cov_181.673947","chromosome"
"DRR192221_202105251828_71_length_740_cov_86.861338","chromosome"
"DRR192221_202105251828_72_length_721_cov_100.284512","chromosome"
"DRR192221_202105251828_73_length_671_cov_35.384191","chromosome"
"DRR192221_202105251828_74_length_666_cov_204.818182","chromosome"
"DRR192221_202105251828_75_length_641_cov_114.445525","chromosome"
"DRR192221_202105251828_76_length_588_cov_37.804772","chromosome"
"DRR192221_202105251828_77_length_580_cov_87.509934","chromosome"
"DRR192221_202105251828_78_length_577_cov_57.777778","chromosome"
"DRR192221_202105251828_79_length_567_cov_45.786364","chromosome"
"DRR192221_202105251828_80_length_544_cov_98.002398","chromosome"
"DRR192221_202105251828_81_length_541_cov_51.944444","chromosome"
"DRR192221_202105251828_82_length_540_cov_38.174334","chromosome"
"DRR192221_202105251828_83_length_538_cov_46.019465","chromosome"
"DRR192221_202105251828_84_length_532_cov_40.590123","chromosome"
"DRR192221_202105251828_85_length_519_cov_166.742347","chromosome"
"DRR192221_202105251828_86_length_506_cov_45.118734","chromosome"
"DRR192221_202105251828_21_length_55851_cov_46.852864","plasmid"
"DRR192221_202105251828_28_length_19194_cov_44.513610","plasmid"
"DRR192221_202105251828_37_length_10645_cov_48.065412","plasmid"
"DRR192221_202105251828_38_length_10373_cov_47.247023","plasmid"
"DRR192221_202105251828_39_length_10260_cov_45.077568","plasmid"
"DRR192221_202105251828_45_length_4208_cov_45.977702","plasmid"
"DRR192221_202105251828_46_length_4201_cov_71.000000","plasmid"
"DRR192221_202105251828_47_length_3776_cov_47.180049","plasmid"
"DRR192221_202105251828_48_length_3484_cov_40.828120","plasmid"
"DRR192221_202105251828_49_length_2653_cov_47.243072","plasmid"
"DRR192221_202105251828_52_length_2388_cov_50.139319","plasmid"
"DRR192221_202105251828_54_length_1999_cov_46.196047","plasmid"
"DRR192221_202105251828_56_length_1782_cov_44.967372","plasmid"
"DRR192221_202105251828_59_length_1597_cov_80.155102","plasmid"
"DRR192221_202105251828_62_length_1003_cov_89.581050","plasmid"
"DRR199249_202105251828_1_length_680082_cov_8.693819","chromosome"
"DRR199249_202105251828_2_length_623247_cov_8.897928","chromosome"
"DRR199249_202105251828_3_length_339518_cov_10.127275","chromosome"
"DRR199249_202105251828_4_length_231231_cov_7.774790","chromosome"
"DRR199249_202105251828_5_length_223070_cov_11.416290","chromosome"
"DRR199249_202105251828_6_length_215831_cov_10.847713","chromosome"
"DRR199249_202105251828_7_length_206928_cov_9.059134","chromosome"
"DRR199249_202105251828_8_length_191712_cov_10.772341","chromosome"
"DRR199249_202105251828_9_length_173943_cov_9.969502","chromosome"
"DRR199249_202105251828_10_length_166088_cov_10.811160","chromosome"
"DRR199249_202105251828_11_length_159190_cov_10.491585","chromosome"
"DRR199249_202105251828_12_length_136620_cov_7.943543","chromosome"
"DRR199249_202105251828_13_length_135876_cov_7.859329","chromosome"
"DRR199249_202105251828_14_length_124870_cov_9.629751","chromosome"
"DRR199249_202105251828_15_length_124518_cov_9.530810","chromosome"
"DRR199249_202105251828_16_length_118022_cov_10.606972","chromosome"
"DRR199249_202105251828_17_length_93510_cov_8.220061","chromosome"
"DRR199249_202105251828_18_length_88572_cov_7.990457","chromosome"
"DRR199249_202105251828_19_length_83359_cov_10.995771","chromosome"
"DRR199249_202105251828_20_length_73802_cov_10.770533","chromosome"
"DRR199249_202105251828_21_length_71350_cov_11.028404","chromosome"
"DRR199249_202105251828_22_length_66008_cov_8.746300","chromosome"
"DRR199249_202105251828_23_length_64726_cov_11.802443","chromosome"
"DRR199249_202105251828_24_length_59017_cov_7.517253","chromosome"
"DRR199249_202105251828_25_length_56481_cov_9.298257","chromosome"
"DRR199249_202105251828_26_length_54499_cov_10.637810","chromosome"
"DRR199249_202105251828_27_length_38459_cov_11.143014","chromosome"
"DRR199249_202105251828_28_length_34401_cov_11.739599","chromosome"
"DRR199249_202105251828_29_length_31508_cov_8.789618","chromosome"
"DRR199249_202105251828_30_length_30045_cov_10.563774","chromosome"
"DRR199249_202105251828_31_length_27792_cov_10.718381","chromosome"
"DRR199249_202105251828_32_length_23711_cov_11.953146","chromosome"
"DRR199249_202105251828_34_length_21632_cov_12.556196","chromosome"
"DRR199249_202105251828_35_length_21511_cov_9.124299","chromosome"
"DRR199249_202105251828_36_length_20432_cov_11.764885","chromosome"
"DRR199249_202105251828_37_length_14775_cov_8.778878","chromosome"
"DRR199249_202105251828_38_length_14184_cov_12.141069","chromosome"
"DRR199249_202105251828_39_length_13784_cov_7.973713","chromosome"
"DRR199249_202105251828_41_length_12988_cov_11.075888","chromosome"
"DRR199249_202105251828_42_length_12422_cov_9.107930","chromosome"
"DRR199249_202105251828_43_length_11593_cov_9.130473","plasmid"
"DRR199249_202105251828_44_length_10776_cov_13.310452","chromosome"
"DRR199249_202105251828_46_length_9530_cov_7.680527","chromosome"
"DRR199249_202105251828_47_length_9431_cov_12.933362","chromosome"
"DRR199249_202105251828_49_length_7499_cov_11.542729","chromosome"
"DRR199249_202105251828_54_length_4946_cov_6.793111","plasmid"
"DRR199249_202105251828_55_length_4925_cov_80.417674","chromosome"
"DRR199249_202105251828_57_length_4369_cov_12.534418","chromosome"
"DRR199249_202105251828_58_length_4304_cov_9.649270","chromosome"
"DRR199249_202105251828_60_length_2940_cov_11.825453","chromosome"
"DRR199249_202105251828_61_length_2864_cov_9.765437","chromosome"
"DRR199249_202105251828_62_length_2849_cov_7.744306","plasmid"
"DRR199249_202105251828_63_length_2583_cov_32.939332","chromosome"
"DRR199249_202105251828_64_length_2532_cov_40.726819","chromosome"
"DRR199249_202105251828_65_length_2123_cov_13.550100","chromosome"
"DRR199249_202105251828_66_length_2089_cov_13.255352","chromosome"
"DRR199249_202105251828_67_length_1914_cov_10.308898","chromosome"
"DRR199249_202105251828_71_length_1259_cov_10.958874","chromosome"
"DRR199249_202105251828_72_length_1183_cov_12.757576","chromosome"
"DRR199249_202105251828_73_length_941_cov_38.712531","chromosome"
"DRR199249_202105251828_74_length_894_cov_23.505867","chromosome"
"DRR199249_202105251828_75_length_846_cov_6.912378","chromosome"
"DRR199249_202105251828_76_length_843_cov_12.918994","chromosome"
"DRR199249_202105251828_77_length_830_cov_16.617354","chromosome"
"DRR199249_202105251828_78_length_758_cov_15.841521","chromosome"
"DRR199249_202105251828_79_length_740_cov_17.314845","chromosome"
"DRR199249_202105251828_80_length_669_cov_12.167897","chromosome"
"DRR199249_202105251828_81_length_641_cov_30.334630","chromosome"
"DRR199249_202105251828_82_length_570_cov_11.521445","chromosome"
"DRR199249_202105251828_83_length_561_cov_15.460829","chromosome"
"DRR199249_202105251828_84_length_545_cov_13.906699","chromosome"
"DRR199249_202105251828_85_length_525_cov_15.716080","chromosome"
"DRR199249_202105251828_86_length_519_cov_45.433673","chromosome"
"DRR199249_202105251828_33_length_23056_cov_7.142004","plasmid"
"DRR199249_202105251828_40_length_13168_cov_7.427805","plasmid"
"DRR199249_202105251828_45_length_10524_cov_7.707727","plasmid"
"DRR199249_202105251828_48_length_7981_cov_7.072193","plasmid"
"DRR199249_202105251828_50_length_6796_cov_47.189984","plasmid"
"DRR199249_202105251828_51_length_6253_cov_7.422625","plasmid"
"DRR199249_202105251828_52_length_5294_cov_103.927811","plasmid"
"DRR199249_202105251828_53_length_4973_cov_7.616591","plasmid"
"DRR199249_202105251828_56_length_4417_cov_8.247786","plasmid"
"DRR199249_202105251828_59_length_4214_cov_177.590898","plasmid"
"DRR199249_202105251828_68_length_1676_cov_1138.493221","plasmid"
"DRR199249_202105251828_69_length_1546_cov_7.644820","plasmid"
"DRR199249_202105251828_70_length_1467_cov_7.166876","plasmid"
"DRR199263_202105251828_1_length_680364_cov_16.929103","chromosome"
"DRR199263_202105251828_2_length_393355_cov_17.205291","chromosome"
"DRR199263_202105251828_3_length_342913_cov_20.091109","chromosome"
"DRR199263_202105251828_4_length_238176_cov_17.979177","chromosome"
"DRR199263_202105251828_5_length_229921_cov_17.968054","chromosome"
"DRR199263_202105251828_6_length_223070_cov_22.135739","chromosome"
"DRR199263_202105251828_7_length_191227_cov_20.814636","chromosome"
"DRR199263_202105251828_8_length_182537_cov_21.338507","chromosome"
"DRR199263_202105251828_9_length_180861_cov_18.809776","chromosome"
"DRR199263_202105251828_10_length_180486_cov_19.923985","chromosome"
"DRR199263_202105251828_11_length_174721_cov_20.341249","chromosome"
"DRR199263_202105251828_12_length_166088_cov_21.009472","chromosome"
"DRR199263_202105251828_13_length_159190_cov_20.524836","chromosome"
"DRR199263_202105251828_14_length_136620_cov_15.672445","chromosome"
"DRR199263_202105251828_15_length_134820_cov_15.161159","chromosome"
"DRR199263_202105251828_16_length_124867_cov_18.748116","chromosome"
"DRR199263_202105251828_17_length_122347_cov_15.073065","chromosome"
"DRR199263_202105251828_18_length_96719_cov_15.781286","chromosome"
"DRR199263_202105251828_19_length_93512_cov_15.848819","chromosome"
"DRR199263_202105251828_20_length_88572_cov_16.038849","chromosome"
"DRR199263_202105251828_21_length_83359_cov_21.410203","chromosome"
"DRR199263_202105251828_22_length_73756_cov_20.713224","chromosome"
"DRR199263_202105251828_23_length_71044_cov_21.870186","chromosome"
"DRR199263_202105251828_24_length_66008_cov_16.708641","chromosome"
"DRR199263_202105251828_25_length_59034_cov_14.921656","chromosome"
"DRR199263_202105251828_26_length_54499_cov_21.070735","chromosome"
"DRR199263_202105251828_27_length_40545_cov_22.356846","chromosome"
"DRR199263_202105251828_28_length_38459_cov_21.385709","chromosome"
"DRR199263_202105251828_29_length_34401_cov_22.853271","chromosome"
"DRR199263_202105251828_30_length_30045_cov_20.512735","chromosome"
"DRR199263_202105251828_31_length_27816_cov_19.656903","chromosome"
"DRR199263_202105251828_32_length_23031_cov_14.539993","chromosome"
"DRR199263_202105251828_34_length_21510_cov_17.812795","chromosome"
"DRR199263_202105251828_35_length_20431_cov_23.482811","chromosome"
"DRR199263_202105251828_36_length_19982_cov_23.036565","chromosome"
"DRR199263_202105251828_37_length_14775_cov_17.003618","chromosome"
"DRR199263_202105251828_38_length_13790_cov_14.560126","chromosome"
"DRR199263_202105251828_39_length_12636_cov_16.093213","plasmid"
"DRR199263_202105251828_40_length_12443_cov_17.772410","chromosome"
"DRR199263_202105251828_41_length_12088_cov_27.008611","chromosome"
"DRR199263_202105251828_45_length_7499_cov_22.059550","chromosome"
"DRR199263_202105251828_46_length_6504_cov_14.727301","plasmid"
"DRR199263_202105251828_50_length_4964_cov_21.503825","chromosome"
"DRR199263_202105251828_51_length_4925_cov_157.255732","chromosome"
"DRR199263_202105251828_53_length_4369_cov_26.625413","chromosome"
"DRR199263_202105251828_55_length_4150_cov_18.112603","chromosome"
"DRR199263_202105251828_56_length_3877_cov_15.996267","plasmid"
"DRR199263_202105251828_57_length_2583_cov_68.838355","chromosome"
"DRR199263_202105251828_58_length_2532_cov_57.134719","chromosome"
