"contig_name","final_result"
"DRR192221_1","chromosome"
"DRR192221_2","chromosome"
"DRR192221_3","chromosome"
"DRR192221_4","chromosome"
"DRR192221_5","chromosome"
"DRR192221_6","chromosome"
"DRR192221_7","chromosome"
"DRR192221_8","chromosome"
"DRR192221_9","chromosome"
"DRR192221_10","chromosome"
"DRR192221_11","chromosome"
"DRR192221_12","chromosome"
"DRR192221_13","chromosome"
"DRR192221_14","chromosome"
"DRR192221_15","chromosome"
"DRR192221_16","chromosome"
"DRR192221_17","chromosome"
"DRR192221_18","chromosome"
"DRR192221_19","chromosome"
"DRR192221_20","chromosome"
"DRR192221_21","chromosome"
"DRR192221_23","chromosome"
"DRR192221_24","chromosome"
"DRR192221_25","chromosome"
"DRR192221_26","chromosome"
"DRR192221_27","chromosome"
"DRR192221_28","chromosome"
"DRR192221_29","chromosome"
"DRR192221_30","chromosome"
"DRR192221_32","chromosome"
"DRR192221_33","chromosome"
"DRR192221_34","chromosome"
"DRR192221_35","chromosome"
"DRR192221_36","chromosome"
"DRR192221_37","chromosome"
"DRR192221_38","chromosome"
"DRR192221_39","chromosome"
"DRR192221_40","chromosome"
"DRR192221_41","chromosome"
"DRR192221_42","chromosome"
"DRR192221_43","chromosome"
"DRR192221_44","chromosome"
"DRR192221_48","chromosome"
"DRR192221_49","chromosome"
"DRR192221_50","chromosome"
"DRR192221_51","chromosome"
"DRR192221_52","chromosome"
"DRR192221_53","chromosome"
"DRR192221_58","chromosome"
"DRR192221_59","chromosome"
"DRR192221_60","chromosome"
"DRR192221_61","chromosome"
"DRR192221_63","chromosome"
"DRR192221_65","chromosome"
"DRR192221_66","chromosome"
"DRR192221_67","chromosome"
"DRR192221_69","chromosome"
"DRR192221_70","chromosome"
"DRR192221_72","chromosome"
"DRR192221_74","chromosome"
"DRR192221_75","chromosome"
"DRR192221_76","chromosome"
"DRR192221_77","chromosome"
"DRR192221_78","chromosome"
"DRR192221_79","chromosome"
"DRR192221_81","chromosome"
"DRR192221_82","chromosome"
"DRR192221_83","chromosome"
"DRR192221_84","chromosome"
"DRR192221_85","chromosome"
"DRR192221_86","chromosome"
"DRR192221_87","chromosome"
"DRR192221_88","chromosome"
"DRR192221_89","chromosome"
"DRR192221_90","chromosome"
"DRR192221_91","chromosome"
"DRR192221_92","chromosome"
"DRR192221_93","chromosome"
"DRR192221_94","chromosome"
"DRR192221_95","chromosome"
"DRR192221_96","chromosome"
"DRR192221_97","chromosome"
"DRR192221_98","chromosome"
"DRR192221_99","chromosome"
"DRR192221_100","chromosome"
"DRR192221_101","chromosome"
"DRR192221_102","chromosome"
"DRR192221_103","chromosome"
"DRR192221_104","chromosome"
"DRR192221_105","chromosome"
"DRR192221_106","chromosome"
"DRR192221_107","chromosome"
"DRR192221_108","chromosome"
"DRR192221_109","chromosome"
"DRR192221_110","chromosome"
"DRR192221_111","chromosome"
"DRR192221_112","chromosome"
"DRR192221_113","chromosome"
"DRR192221_114","chromosome"
"DRR192221_115","chromosome"
"DRR192221_116","chromosome"
"DRR192221_117","chromosome"
"DRR192221_118","chromosome"
"DRR192221_119","chromosome"
"DRR192221_120","chromosome"
"DRR192221_121","chromosome"
"DRR192221_122","chromosome"
"DRR192221_123","chromosome"
"DRR192221_124","chromosome"
"DRR192221_125","chromosome"
"DRR192221_126","chromosome"
"DRR192221_127","chromosome"
"DRR192221_128","chromosome"
"DRR192221_129","chromosome"
"DRR192221_130","chromosome"
"DRR192221_131","chromosome"
"DRR192221_132","chromosome"
"DRR192221_133","chromosome"
"DRR192221_134","chromosome"
"DRR192221_135","chromosome"
"DRR192221_136","chromosome"
"DRR192221_137","chromosome"
"DRR192221_138","chromosome"
"DRR192221_139","chromosome"
"DRR192221_140","chromosome"
"DRR192221_141","chromosome"
"DRR192221_142","chromosome"
"DRR192221_143","chromosome"
"DRR192221_144","chromosome"
"DRR192221_145","chromosome"
"DRR192221_146","chromosome"
"DRR192221_147","chromosome"
"DRR192221_22","plasmid"
"DRR192221_31","plasmid"
"DRR192221_45","plasmid"
"DRR192221_46","plasmid"
"DRR192221_47","plasmid"
"DRR192221_54","plasmid"
"DRR192221_55","plasmid"
"DRR192221_56","plasmid"
"DRR192221_57","plasmid"
"DRR192221_62","plasmid"
"DRR192221_64","plasmid"
"DRR192221_68","plasmid"
"DRR192221_71","plasmid"
"DRR192221_73","plasmid"
"DRR192221_80","plasmid"
"DRR199249_1","chromosome"
"DRR199249_2","chromosome"
"DRR199249_3","chromosome"
"DRR199249_4","chromosome"
"DRR199249_5","chromosome"
"DRR199249_6","chromosome"
"DRR199249_7","chromosome"
"DRR199249_8","chromosome"
"DRR199249_9","chromosome"
"DRR199249_10","chromosome"
"DRR199249_11","chromosome"
"DRR199249_12","chromosome"
"DRR199249_13","chromosome"
"DRR199249_14","chromosome"
"DRR199249_15","chromosome"
"DRR199249_16","chromosome"
"DRR199249_17","chromosome"
"DRR199249_18","chromosome"
"DRR199249_19","chromosome"
"DRR199249_20","chromosome"
"DRR199249_21","chromosome"
"DRR199249_22","chromosome"
"DRR199249_23","chromosome"
"DRR199249_24","chromosome"
"DRR199249_25","chromosome"
"DRR199249_26","chromosome"
"DRR199249_27","chromosome"
