genomes/GCA_000167875.2_ASM16787v2_genomic.fna	ecoli	381	adk(6)	fumC(4)	gyrB(12)	icd(92)	mdh(24)	purA(18)	recA(7)
genomes/GCA_000464955.2_ASM46495v2_genomic.fna	ecoli	672	adk(6)	fumC(4)	gyrB(126)	icd(136)	mdh(11)	purA(8)	recA(6)
genomes/GCA_000493755.1_ASM49375v1_genomic.fna	ecoli	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
genomes/GCA_000520035.1_ASM52003v1_genomic.fna	ecoli	32	adk(19)	fumC(23)	gyrB(18)	icd(24)	mdh(21)	purA(2)	recA(16)
genomes/GCA_000520055.1_ASM52005v1_genomic.fna	ecoli	6130	adk(19)	fumC(23)	gyrB(51)	icd(24)	mdh(21)	purA(5)	recA(16)
genomes/GCA_000597845.1_ASM59784v1_genomic.fna	ecoli	540	adk(6)	fumC(7)	gyrB(57)	icd(1)	mdh(8)	purA(8)	recA(2)
genomes/GCA_000599625.1_ASM59962v1_genomic.fna	ecoli	540	adk(6)	fumC(7)	gyrB(57)	icd(1)	mdh(8)	purA(8)	recA(2)
genomes/GCA_000599645.1_ASM59964v1_genomic.fna	ecoli	540	adk(6)	fumC(7)	gyrB(57)	icd(1)	mdh(8)	purA(8)	recA(2)
genomes/GCA_000599665.1_ASM59966v1_genomic.fna	ecoli	6131	adk(261)	fumC(160)	gyrB(2)	icd(63)	mdh(5)	purA(5)	recA(4)
genomes/GCA_000599685.1_ASM59968v1_genomic.fna	ecoli	6131	adk(261)	fumC(160)	gyrB(2)	icd(63)	mdh(5)	purA(5)	recA(4)
genomes/GCA_000599705.1_ASM59970v1_genomic.fna	ecoli	6131	adk(261)	fumC(160)	gyrB(2)	icd(63)	mdh(5)	purA(5)	recA(4)
genomes/GCA_000618005.3_ASM61800v3_genomic.fna	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
genomes/GCA_000618905.3_ASM61890v3_genomic.fna	ecoli	381	adk(6)	fumC(4)	gyrB(12)	icd(92)	mdh(24)	purA(18)	recA(7)
genomes/GCA_000662395.1_ASM66239v1_genomic.fna	ecoli	6130	adk(19)	fumC(23)	gyrB(51)	icd(24)	mdh(21)	purA(5)	recA(16)
genomes/GCA_000671295.1_ASM67129v1_genomic.fna	ecoli	32	adk(19)	fumC(23)	gyrB(18)	icd(24)	mdh(21)	purA(2)	recA(16)
genomes/GCA_000714595.1_ASM71459v1_genomic.fna	ecoli	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
genomes/GCA_000725265.1_ASM72526v1_genomic.fna	ecoli	-	adk(41)	fumC(6)	gyrB(5)	icd(16)	mdh(662?)	purA(8)	recA(7)
genomes/GCA_000732965.1_ASM73296v1_genomic.fna	ecoli	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
genomes/GCA_000784925.1_ASM78492v1_genomic.fna	ecoli	648	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
genomes/GCA_000800215.1_ASM80021v1_genomic.fna	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
genomes/GCA_000801165.1_ASM80116v1_genomic.fna	ecoli	2773	adk(6)	fumC(6)	gyrB(3)	icd(26)	mdh(9)	purA(8)	recA(2)
genomes/GCA_000801185.2_ASM80118v2_genomic.fna	ecoli	672	adk(6)	fumC(4)	gyrB(126)	icd(136)	mdh(11)	purA(8)	recA(6)
genomes/GCA_000801205.1_ASM80120v1_genomic.fna	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
genomes/GCA_000814145.2_ASM81414v2_genomic.fna	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
genomes/GCA_000833635.2_ASM83363v2_genomic.fna	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
genomes/GCA_000931565.1_ASM93156v1_genomic.fna	ecoli	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
genomes/GCA_000968515.1_ASM96851v1_genomic.fna	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
genomes/GCA_000974405.1_ASM97440v1_genomic.fna	ecoli	-	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(-)
