AP022362.1	DRR192221_202105251828_1_length_468813_cov_43.132528
AP022362.1	DRR192221_202105251828_2_length_437611_cov_39.862130
AP022362.1	DRR192221_202105251828_3_length_399405_cov_41.196076
AP022362.1	DRR192221_202105251828_4_length_394141_cov_37.110516
AP022362.1	DRR192221_202105251828_5_length_347115_cov_37.537021
AP022362.1	DRR192221_202105251828_6_length_336315_cov_44.623931
AP022362.1	DRR192221_202105251828_7_length_303028_cov_34.435360
AP022362.1	DRR192221_202105251828_8_length_249657_cov_41.400628
AP022362.1	DRR192221_202105251828_9_length_229132_cov_36.659470
AP022362.1	DRR192221_202105251828_10_length_220982_cov_37.995291
AP022362.1	DRR192221_202105251828_11_length_210432_cov_36.511210
AP022362.1	DRR192221_202105251828_12_length_209432_cov_39.036545
AP022362.1	DRR192221_202105251828_13_length_173018_cov_40.003707
AP022362.1	DRR192221_202105251828_14_length_136619_cov_36.019019
AP022362.1	DRR192221_202105251828_15_length_109710_cov_44.449212
AP022362.1	DRR192221_202105251828_16_length_99236_cov_36.392638
AP022362.1	DRR192221_202105251828_17_length_92940_cov_42.807484
AP022362.1	DRR192221_202105251828_18_length_77479_cov_35.811847
AP022362.1	DRR192221_202105251828_19_length_66762_cov_46.365379
AP022362.1	DRR192221_202105251828_20_length_58338_cov_45.471148
AP022362.1	DRR192221_202105251828_21_length_55851_cov_46.852864
AP022362.1	DRR192221_202105251828_22_length_51107_cov_40.863005
AP022362.1	DRR192221_202105251828_23_length_41555_cov_42.481317
AP022362.1	DRR192221_202105251828_24_length_38882_cov_40.586376
AP022362.1	DRR192221_202105251828_25_length_30045_cov_43.437563
AP022362.1	DRR192221_202105251828_26_length_29423_cov_46.272665
AP022362.1	DRR192221_202105251828_27_length_26231_cov_36.306773
AP022362.1	DRR192221_202105251828_28_length_19194_cov_44.513610
AP022362.1	DRR192221_202105251828_29_length_16464_cov_44.372223
AP022362.1	DRR192221_202105251828_30_length_15490_cov_49.182191
AP022362.1	DRR192221_202105251828_31_length_14298_cov_42.709689
AP022362.1	DRR192221_202105251828_32_length_13574_cov_40.098609
AP022362.1	DRR192221_202105251828_33_length_12329_cov_79.829946
AP022362.1	DRR192221_202105251828_34_length_11876_cov_43.794961
AP022362.1	DRR192221_202105251828_35_length_11707_cov_35.338515
AP022362.1	DRR192221_202105251828_36_length_10772_cov_43.480319
AP022362.1	DRR192221_202105251828_37_length_10645_cov_48.065412
AP022362.1	DRR192221_202105251828_38_length_10373_cov_47.247023
AP022362.1	DRR192221_202105251828_39_length_10260_cov_45.077568
AP022362.1	DRR192221_202105251828_40_length_6846_cov_43.411817
