SRR8182925,plasmid_AA171,CP021871.1,58,2532,56812,59343
SRR8182925,plasmid_AA171,CP021454.1,58,2532,861882,864413
SRR8182925,plasmid_AA171,CP021454.1,58,2532,4279766,4282297
SRR8182925,plasmid_AA171,CP021454.1,58,2532,1933184,1935715
SRR8182925,plasmid_AA171,CP021454.1,65,1443,164349,165791
SRR8182925,plasmid_AA171,CP021454.1,65,1443,2519965,2521407
SRR8182925,plasmid_AA171,CP021871.1,65,1443,84063,85505
SRR8182925,plasmid_AA171,CP021871.1,67,1403,4364,5766
SRR8182925,plasmid_AA171,CP021871.1,67,1403,16749,18151
SRR11948708,plasmid_AA171,CP056470.1,78,2314,1981227,1983540
SRR11948708,plasmid_AA171,CP056470.1,78,2314,846968,849281
SRR11948708,plasmid_AA171,CP056470.1,78,2314,2794194,2796507
SRR11948708,plasmid_AA171,CP056470.1,78,2314,5049762,5052075
SRR11948708,plasmid_AA171,CP056470.1,78,2314,3655358,3657671
SRR11948708,plasmid_AA171,CP056471.1,91,1457,9963,11419
SRR11948708,plasmid_AA171,CP056470.1,91,1457,842548,844004
SRR11948708,plasmid_AA171,CP056470.1,93,1441,2641958,2643398
SRR11948708,plasmid_AA171,CP056470.1,93,1441,4389505,4390945
SRR11948708,plasmid_AA171,CP056471.1,93,1441,71483,72923
SRR11948708,plasmid_AA171,CP056470.1,104,1067,4739279,4740345
SRR11948708,plasmid_AA171,CP056470.1,104,1067,26113,27179
SRR11948708,plasmid_AA336,CP056470.1,75,2583,1753201,1755783
SRR11948708,plasmid_AA336,CP056470.1,75,2583,861066,863648
SRR11948708,plasmid_AA336,CP056470.1,75,2583,19321,21903
SRR11948708,plasmid_AA336,CP056471.1,77,2354,68593,70946
SRR11948708,plasmid_AA336,CP056471.1,77,2354,84344,86697
SRR11948708,plasmid_AA336,CP056471.1,77,2354,78673,81026
SRR11948708,plasmid_AA336,CP056472.1,77,2354,19863,22216
SRR11948708,plasmid_AA336,CP056472.1,85,1690,18173,19862
SRR11948708,plasmid_AA336,CP056471.1,85,1690,86698,88387
SRR11948708,plasmid_AA336,CP056472.1,97,1316,37796,39111
SRR11948708,plasmid_AA336,CP056471.1,97,1316,60119,61434
SRR11949021,plasmid_AA176,CP056914.1,45,1205,296738,297942
SRR11949021,plasmid_AA176,CP056915.1,45,1205,137203,138407
SRR11949021,plasmid_AA176,CP056915.1,49,1041,56735,57775
SRR11949021,plasmid_AA176,CP056915.1,49,1041,51247,52287
SRR3999089,plasmid_AA175,CP019007.1,34,1205,115564,116768
SRR3999089,plasmid_AA175,CP019008.1,34,1205,2968131,2969335
SRR11905449,plasmid_AA171,CP054219.1,61,2532,4906911,4909442
SRR11905449,plasmid_AA171,CP054220.1,61,2532,48367,50898
SRR11905449,plasmid_AA171,CP054219.1,61,2532,783296,785827
SRR11905449,plasmid_AA171,CP054219.1,61,2532,1842237,1844768
