'Assembly Accession'	'SRA Accession'	'Prob_Chromosome'	'Prob_Plasmid'	'Prediction'	'Contig_name'	'Contig_length'
GCA_010725305.1	DRR192221	0.977282278135875	0.0227177218641248	"Chromosome"	"DRR192221_202105251828_1_length_468813_cov_43.132528"	468813
GCA_010725305.1	DRR192221	0.980016327263993	0.0199836727360073	"Chromosome"	"DRR192221_202105251828_2_length_437611_cov_39.862130"	437611
GCA_010725305.1	DRR192221	0.966387185562719	0.0336128144372809	"Chromosome"	"DRR192221_202105251828_3_length_399405_cov_41.196076"	399405
GCA_010725305.1	DRR192221	0.977447171803877	0.0225528281961229	"Chromosome"	"DRR192221_202105251828_4_length_394141_cov_37.110516"	394141
GCA_010725305.1	DRR192221	0.969846405399087	0.0301535946009126	"Chromosome"	"DRR192221_202105251828_5_length_347115_cov_37.537021"	347115
GCA_010725305.1	DRR192221	0.975566276828204	0.0244337231717958	"Chromosome"	"DRR192221_202105251828_6_length_336315_cov_44.623931"	336315
GCA_010725305.1	DRR192221	0.980393290289077	0.0196067097109235	"Chromosome"	"DRR192221_202105251828_7_length_303028_cov_34.435360"	303028
GCA_010725305.1	DRR192221	0.969416825605706	0.0305831743942943	"Chromosome"	"DRR192221_202105251828_8_length_249657_cov_41.400628"	249657
GCA_010725305.1	DRR192221	0.989977580514783	0.0100224194852169	"Chromosome"	"DRR192221_202105251828_9_length_229132_cov_36.659470"	229132
GCA_010725305.1	DRR192221	0.957486308848338	0.042513691151662	"Chromosome"	"DRR192221_202105251828_10_length_220982_cov_37.995291"	220982
GCA_010725305.1	DRR192221	0.98595994882057	0.0140400511794296	"Chromosome"	"DRR192221_202105251828_11_length_210432_cov_36.511210"	210432
GCA_010725305.1	DRR192221	0.964344988637148	0.035655011362852	"Chromosome"	"DRR192221_202105251828_12_length_209432_cov_39.036545"	209432
GCA_010725305.1	DRR192221	0.974817705705324	0.0251822942946759	"Chromosome"	"DRR192221_202105251828_13_length_173018_cov_40.003707"	173018
GCA_010725305.1	DRR192221	0.97076911607213	0.0292308839278698	"Chromosome"	"DRR192221_202105251828_14_length_136619_cov_36.019019"	136619
GCA_010725305.1	DRR192221	0.966053063188576	0.0339469368114241	"Chromosome"	"DRR192221_202105251828_15_length_109710_cov_44.449212"	109710
GCA_010725305.1	DRR192221	0.967436624975887	0.032563375024113	"Chromosome"	"DRR192221_202105251828_16_length_99236_cov_36.392638"	99236
GCA_010725305.1	DRR192221	0.975286391673919	0.0247136083260813	"Chromosome"	"DRR192221_202105251828_17_length_92940_cov_42.807484"	92940
GCA_010725305.1	DRR192221	0.923168383281964	0.0768316167180355	"Chromosome"	"DRR192221_202105251828_18_length_77479_cov_35.811847"	77479
GCA_010725305.1	DRR192221	0.955428700785464	0.0445712992145361	"Chromosome"	"DRR192221_202105251828_19_length_66762_cov_46.365379"	66762
GCA_010725305.1	DRR192221	0.951134855846553	0.0488651441534471	"Chromosome"	"DRR192221_202105251828_20_length_58338_cov_45.471148"	58338
GCA_010725305.1	DRR192221	0.182367228737849	0.817632771262151	"Plasmid"	"DRR192221_202105251828_21_length_55851_cov_46.852864"	55851
GCA_010725305.1	DRR192221	0.963286153290459	0.036713846709541	"Chromosome"	"DRR192221_202105251828_22_length_51107_cov_40.863005"	51107
GCA_010725305.1	DRR192221	0.960942963319275	0.0390570366807248	"Chromosome"	"DRR192221_202105251828_23_length_41555_cov_42.481317"	41555
GCA_010725305.1	DRR192221	0.924531258498813	0.0754687415011868	"Chromosome"	"DRR192221_202105251828_24_length_38882_cov_40.586376"	38882
GCA_010725305.1	DRR192221	0.912851471981176	0.0871485280188237	"Chromosome"	"DRR192221_202105251828_25_length_30045_cov_43.437563"	30045
GCA_010725305.1	DRR192221	0.984292555469781	0.0157074445302192	"Chromosome"	"DRR192221_202105251828_26_length_29423_cov_46.272665"	29423
GCA_010725305.1	DRR192221	0.9946796971161	0.00532030288390017	"Chromosome"	"DRR192221_202105251828_27_length_26231_cov_36.306773"	26231
GCA_010725305.1	DRR192221	0.294411997709682	0.705588002290318	"Plasmid"	"DRR192221_202105251828_28_length_19194_cov_44.513610"	19194
GCA_010725305.1	DRR192221	0.926333988874873	0.0736660111251268	"Chromosome"	"DRR192221_202105251828_29_length_16464_cov_44.372223"	16464
GCA_010725305.1	DRR192221	0.719146170222448	0.280853829777552	"Chromosome"	"DRR192221_202105251828_30_length_15490_cov_49.182191"	15490
GCA_010725305.1	DRR192221	0.938053712499479	0.0619462875005214	"Chromosome"	"DRR192221_202105251828_31_length_14298_cov_42.709689"	14298
GCA_010725305.1	DRR192221	0.971970008293958	0.0280299917060424	"Chromosome"	"DRR192221_202105251828_32_length_13574_cov_40.098609"	13574
GCA_010725305.1	DRR192221	0.968133248216393	0.0318667517836073	"Chromosome"	"DRR192221_202105251828_33_length_12329_cov_79.829946"	12329
GCA_010725305.1	DRR192221	0.859199539588601	0.140800460411399	"Chromosome"	"DRR192221_202105251828_34_length_11876_cov_43.794961"	11876
GCA_010725305.1	DRR192221	0.938686092722229	0.0613139072777705	"Chromosome"	"DRR192221_202105251828_35_length_11707_cov_35.338515"	11707
GCA_010725305.1	DRR192221	0.986843201317523	0.013156798682477	"Chromosome"	"DRR192221_202105251828_36_length_10772_cov_43.480319"	10772
GCA_010725305.1	DRR192221	0.31520613533398	0.68479386466602	"Plasmid"	"DRR192221_202105251828_37_length_10645_cov_48.065412"	10645
GCA_010725305.1	DRR192221	0.264052035695104	0.735947964304896	"Plasmid"	"DRR192221_202105251828_38_length_10373_cov_47.247023"	10373
GCA_010725305.1	DRR192221	0.222265705535235	0.777734294464765	"Plasmid"	"DRR192221_202105251828_39_length_10260_cov_45.077568"	10260
GCA_010725305.1	DRR192221	0.977760531349844	0.0222394686501564	"Chromosome"	"DRR192221_202105251828_40_length_6846_cov_43.411817"	6846
GCA_010725305.1	DRR192221	0.23372624835928	0.76627375164072	"Plasmid"	"DRR192221_202105251828_41_length_6837_cov_40.381073"	6837
GCA_010725305.1	DRR192221	0.984878699492753	0.0151213005072466	"Chromosome"	"DRR192221_202105251828_42_length_4671_cov_302.847931"	4671
GCA_010725305.1	DRR192221	0.979461323294855	0.0205386767051452	"Chromosome"	"DRR192221_202105251828_43_length_4467_cov_42.411982"	4467
GCA_010725305.1	DRR192221	0.975492417715151	0.0245075822848487	"Chromosome"	"DRR192221_202105251828_44_length_4369_cov_44.770156"	4369
GCA_010725305.1	DRR192221	0.750550814197824	0.249449185802176	"Chromosome"	"DRR192221_202105251828_45_length_4208_cov_45.977702"	4208
GCA_010725305.1	DRR192221	0.309448399819993	0.690551600180007	"Plasmid"	"DRR192221_202105251828_46_length_4201_cov_71.000000"	4201
GCA_010725305.1	DRR192221	0.200648217008281	0.799351782991719	"Plasmid"	"DRR192221_202105251828_47_length_3776_cov_47.180049"	3776
GCA_010725305.1	DRR192221	0.100267090511227	0.899732909488773	"Plasmid"	"DRR192221_202105251828_48_length_3484_cov_40.828120"	3484
GCA_010725305.1	DRR192221	0.851645104192202	0.148354895807798	"Chromosome"	"DRR192221_202105251828_49_length_2653_cov_47.243072"	2653
GCA_010725305.1	DRR192221	0.928837427451417	0.0711625725485827	"Chromosome"	"DRR192221_202105251828_50_length_2581_cov_355.290139"	2581
GCA_010725305.1	DRR192221	0.97085109716993	0.0291489028300702	"Chromosome"	"DRR192221_202105251828_51_length_2532_cov_347.834511"	2532
GCA_010725305.1	DRR192221	0.04312186628846	0.95687813371154	"Plasmid"	"DRR192221_202105251828_52_length_2388_cov_50.139319"	2388
GCA_010725305.1	DRR192221	0.994789485231754	0.00521051476824619	"Chromosome"	"DRR192221_202105251828_53_length_2036_cov_37.733368"	2036
GCA_010725305.1	DRR192221	0.0105619499689544	0.989438050031046	"Plasmid"	"DRR192221_202105251828_54_length_1999_cov_46.196047"	1999
GCA_010725305.1	DRR192221	0.754683301558272	0.245316698441728	"Chromosome"	"DRR192221_202105251828_55_length_1994_cov_49.994644"	1994
GCA_010725305.1	DRR192221	0.00955464066185108	0.990445359338149	"Plasmid"	"DRR192221_202105251828_56_length_1782_cov_44.967372"	1782
GCA_010725305.1	DRR192221	0.99766961862475	0.00233038137525021	"Chromosome"	"DRR192221_202105251828_57_length_1753_cov_42.583026"	1753
GCA_010725305.1	DRR192221	0.959569194903744	0.0404308050962561	"Chromosome"	"DRR192221_202105251828_58_length_1652_cov_42.134907"	1652
