SRR8182925,SRR8182925_component_0,CP021454.1,623505
SRR8182925,SRR8182925_component_1,CP021871.1,255570
SRR8182925,SRR8182925_component_1,CP021454.1,18885
SRR11948708,SRR11948708_component_1,CP056470.1,255594
SRR11948708,SRR11948708_component_0,CP056472.1,998157
SRR11948708,SRR11948708_component_0,CP056471.1,1474809
SRR11948708,SRR11948708_component_0,CP056470.1,261780
SRR3999089,SRR3999089_component_0,CP019006.1,719442
SRR11905449,SRR11905449_component_0,CP054221.1,1282089
SRR11905449,SRR11905449_component_0,CP054220.1,1947597
SRR11905449,SRR11905449_component_0,CP054219.1,70710
SRR11905449,SRR11905449_component_2,CP054223.1,29067
SRR11905449,SRR11905449_component_1,CP054222.1,83982
DRR199249,DRR199249_component_4,AP022001.1,83982
DRR199249,DRR199249_component_0,AP021998.1,1438482
DRR199249,DRR199249_component_0,AP021999.1,14775
DRR199249,DRR199249_component_5,AP022002.1,61305
DRR199249,DRR199249_component_1,AP021998.1,234000
DRR199249,DRR199249_component_2,AP021998.1,319806
DRR199249,DRR199249_component_3,AP022000.1,106512
SRR4025854,SRR4025854_component_0,CP021936.1,2077479
SRR4025854,SRR4025854_component_0,CP021937.1,2098968
SRR4025854,SRR4025854_component_0,CP021938.1,1146093
SRR3112334,SRR3112334_component_0,CP032263.1,1942371
SRR3112334,SRR3112334_component_0,CP032264.1,489120
SRR3112334,SRR3112334_component_0,CP032265.1,16935
SRR3112334,SRR3112334_component_1,CP032265.1,233220
SRR6985737,SRR6985737_component_0,CP030340.1,104781
SRR6985737,SRR6985737_component_0,CP030336.1,45558
SRR6985737,SRR6985737_component_0,CP030335.1,106701
SRR6985737,SRR6985737_component_0,CP030339.1,73341
SRR6985737,SRR6985737_component_6,CP030338.1,6171
SRR6985737,SRR6985737_component_5,CP030333.1,13770
SRR6985737,SRR6985737_component_4,CP030334.1,17025
DRR199303,DRR199303_component_2,AP022067.1,56115
DRR199303,DRR199303_component_0,AP022064.1,393130
DRR199303,DRR199303_component_0,AP022065.1,143530
DRR199303,DRR199303_component_3,AP022068.1,40870
DRR199303,DRR199303_component_1,AP022064.1,188840
SRR5482170,SRR5482170_component_0,CP021179.1,6780912
SRR5482170,SRR5482170_component_0,CP021180.1,12363
SRR5168233,SRR5168233_component_1,CP020116.1,100710
SRR5168233,SRR5168233_component_0,CP020117.1,921680
SRR5168233,SRR5168233_component_0,CP020119.1,522815
SRR5168233,SRR5168233_component_0,CP020116.1,972120
SRR5168210,SRR5168210_component_0,CP021689.1,840645
SRR5168210,SRR5168210_component_0,CP021690.1,1417965
SRR11949256,SRR11949256_component_1,CP056526.1,45185
SRR11949256,SRR11949256_component_0,CP056525.1,544530
SRR11949256,SRR11949256_component_0,CP056524.1,47600
SRR3999086,SRR3999086_component_2,CP018979.1,170745
SRR3999086,SRR3999086_component_0,CP018977.1,582060
SRR3999086,SRR3999086_component_1,CP018979.1,345740
SRR11949248,SRR11949248_component_0,CP056494.1,704170
SRR11949248,SRR11949248_component_0,CP056493.1,728675
SRR11949248,SRR11949248_component_0,CP056492.1,113970
SRR11949248,SRR11949248_component_1,CP056492.1,152670
DRR199263,DRR199263_component_0,AP022032.1,144940
DRR199263,DRR199263_component_0,AP022033.1,77620
DRR199263,DRR199263_component_4,AP022034.1,56115
DRR199263,DRR199263_component_3,AP022032.1,213585
DRR199263,DRR199263_component_1,AP022032.1,156000
DRR199263,DRR199263_component_2,AP022032.1,110030
DRR199263,DRR199263_component_5,AP022035.1,45315
SRR3999062,SRR3999062_component_0,CP018951.1,428140
SRR3999062,SRR3999062_component_0,CP018952.1,11400
SRR3999062,SRR3999062_component_2,CP018949.1,170035
SRR3999062,SRR3999062_component_1,CP018950.1,356695
SRR11949134,SRR11949134_component_1,CP056578.1,438190
SRR11949134,SRR11949134_component_0,CP056579.1,949600
SRR11949134,SRR11949134_component_0,CP056578.1,34910
SRR11948872,SRR11948872_component_2,CP056318.1,61605
SRR11948872,SRR11948872_component_1,CP056315.1,348465
SRR11948872,SRR11948872_component_4,CP056320.1,45285
SRR11948872,SRR11948872_component_3,CP056319.1,58885
SRR11948872,SRR11948872_component_0,CP056316.1,843550
SRR11948872,SRR11948872_component_0,CP056317.1,549055
SRR11948872,SRR11948872_component_0,CP056315.1,25010
SRR3999061,SRR3999061_component_2,CP019014.1,287720
SRR3999061,SRR3999061_component_1,CP019015.1,399430
SRR3999061,SRR3999061_component_0,CP019013.1,1095015
SRR2970646,SRR2970646_component_0,CP013657.1,1371920
SRR2970646,SRR2970646_component_0,CP013658.1,249315
SRR3465539,SRR3465539_component_0,CP015159.1,50387
SRR3465539,SRR3465539_component_0,CP015161.1,61844
SRR3465539,SRR3465539_component_0,CP015160.1,199815
SRR3465539,SRR3465539_component_1,CP015159.1,17246
DRR192221,DRR192221_component_0,AP022362.1,498715
SRR11148648,SRR11148648_component_0,CP049085.2,215835
SRR11148648,SRR11148648_component_1,CP049085.2,94360
SRR4025855,SRR4025855_component_0,CP021690.1,1234580
SRR4025855,SRR4025855_component_0,CP021689.1,446540
DRR199818,DRR199818_component_1,AP022549.1,315070
DRR199818,DRR199818_component_0,AP022551.1,468230
DRR199818,DRR199818_component_0,AP022552.1,452840
DRR199818,DRR199818_component_0,AP022549.1,457650
DRR199818,DRR199818_component_0,AP022550.1,356965
DRR199806,DRR199806_component_0,AP022526.1,1187820
DRR199806,DRR199806_component_0,AP022525.1,29490
DRR199806,DRR199806_component_1,AP022525.1,106770
SRR3999060,SRR3999060_component_2,CP018970.1,359075
SRR3999060,SRR3999060_component_3,CP018970.1,233260
SRR3999060,SRR3999060_component_4,CP018969.1,100710
SRR3999060,SRR3999060_component_4,CP018970.1,51985
SRR3999060,SRR3999060_component_1,CP018970.1,10290
SRR3999060,SRR3999060_component_5,CP018967.1,56115
SRR3999060,SRR3999060_component_0,CP018968.1,434580
SRR3999060,SRR3999060_component_0,CP018969.1,222610
SRR3999060,SRR3999060_component_0,CP018970.1,12590
SRR3999087,SRR3999087_component_0,CP018999.1,907915
SRR3999087,SRR3999087_component_0,CP018998.1,327560
SRR3999087,SRR3999087_component_0,CP019000.1,152110
SRR3999087,SRR3999087_component_2,CP018996.1,45175
SRR3999087,SRR3999087_component_1,CP018997.1,53655
SRR5167858,SRR5167858_component_2,CP021935.1,151780
SRR5167858,SRR5167858_component_1,CP021938.1,310250
SRR5167858,SRR5167858_component_0,CP021936.1,1225235
SRR5167858,SRR5167858_component_0,CP021937.1,1268060
SRR5167858,SRR5167858_component_0,CP021938.1,191330
SRR5167858,SRR5167858_component_0,CP021935.1,201790
SRR11948784,SRR11948784_component_1,CP056873.1,152670
SRR11948784,SRR11948784_component_0,CP056875.1,715990
SRR11948784,SRR11948784_component_0,CP056874.1,686670
SRR11948784,SRR11948784_component_0,CP056873.1,75110
SRR13182991,SRR13182991_component_2,CP069492.1,5886
SRR13182991,SRR13182991_component_2,CP069493.1,5854
SRR13182991,SRR13182991_component_24,CP069493.1,5854
