"baseline period"	"before study start"	"CHX"	"INTERRUPTION"	"SDD"	"SOD"
"AN Universitair Ziekenhuis, Antwerpen, BELGIUM"	2	0	0	0	6	1
"BC Hospital Clinic of Barcelona, Barcelona, SPAIN"	0	2	2	0	1	0
"CD Cardiff University Hospital, UK"	7	0	2	0	7	0
"FE HOSPITAL UNIVERSITARI I POLITÈCNIC LA FE, Valencia, SPAIN"	2	0	1	0	0	0
"GL Academisch Ziekenhuis Sint Lucas, Gent, BELGIUM"	0	0	0	0	0	1
"IT Ospedale San Camillo, Rome, ITALY"	0	0	0	2	0	0
"KG University clinic of respiratory and allergic diseases, G"	1	0	0	0	0	0
"LB CHU Liege, BELGIUM"	10	0	0	14	14	1
"PS Hospital de Sant Pau, Barcelona, SPAIN"	7	0	1	0	4	1
"UZ Universitair Ziekenhuis, Gent, BELGIUM"	4	0	1	0	4	0
