DRR192221,6,chromosome
DRR192221,7,chromosome
DRR192221,5,chromosome
DRR192221,8,chromosome
DRR192221,3,chromosome
DRR192221,2,chromosome
DRR192221,1,chromosome
DRR192221,4,chromosome
DRR192221,14,chromosome
DRR192221,15,chromosome
DRR192221,16,chromosome
DRR192221,12,chromosome
DRR192221,11,chromosome
DRR192221,13,chromosome
DRR192221,10,chromosome
DRR192221,18,chromosome
DRR192221,9,chromosome
DRR192221,17,chromosome
DRR192221,19,chromosome
DRR192221,20,chromosome
DRR192221,21,chromosome
DRR192221,22,plasmid
DRR192221,26,chromosome
DRR192221,24,chromosome
DRR192221,25,chromosome
DRR192221,23,chromosome
DRR192221,27,chromosome
DRR192221,29,chromosome
DRR192221,30,chromosome
DRR192221,31,plasmid
DRR192221,28,chromosome
DRR192221,32,chromosome
DRR192221,33,chromosome
DRR192221,34,chromosome
DRR192221,35,chromosome
DRR192221,36,chromosome
DRR192221,37,chromosome
DRR192221,38,chromosome
DRR192221,39,chromosome
DRR192221,41,chromosome
DRR192221,42,chromosome
DRR192221,44,chromosome
DRR192221,45,plasmid
DRR192221,43,chromosome
DRR192221,40,chromosome
DRR192221,50,chromosome
DRR192221,49,chromosome
DRR192221,48,chromosome
DRR192221,46,plasmid
DRR192221,47,plasmid
DRR192221,52,chromosome
DRR192221,51,chromosome
DRR192221,53,chromosome
DRR192221,59,chromosome
DRR192221,55,plasmid
DRR192221,54,plasmid
DRR192221,58,chromosome
DRR192221,57,unclassified
DRR192221,56,plasmid
DRR192221,64,plasmid
DRR192221,65,chromosome
DRR192221,60,unclassified
DRR192221,63,unclassified
DRR192221,61,unclassified
DRR192221,62,plasmid
DRR192221,67,chromosome
DRR192221,66,chromosome
DRR192221,70,chromosome
DRR192221,69,chromosome
DRR192221,71,unclassified
DRR192221,72,chromosome
DRR192221,68,unclassified
DRR192221,74,chromosome
DRR192221,75,chromosome
DRR192221,73,unclassified
DRR192221,76,plasmid
DRR192221,77,chromosome
DRR192221,78,chromosome
DRR192221,80,unclassified
DRR192221,79,chromosome
DRR192221,81,chromosome
DRR192221,82,chromosome
DRR192221,84,chromosome
DRR192221,83,plasmid
DRR192221,86,chromosome
DRR192221,88,chromosome
DRR192221,89,unclassified
DRR192221,91,chromosome
DRR192221,90,unclassified
DRR192221,92,chromosome
DRR192221,94,chromosome
